ModuleCode,Name,Description
PRG272,Programming,Multi-channelled maximized toolset
SEN271,Software Engineering,User-friendly asymmetric project
MTH271,Math,Innovative modular time-frame
ACW271,Academic Writing,Profound didactic hierarchy
IOT271,Information Technology,Up-sized national workforce
DBD271,Database Development,Sharable logistical frame
ETH271,Ethics,Quality-focused asymmetric matrices
PM271,Project management,Proactive 24 hour customer loyalty
STA271,Statistics,Programmable exuding collaboration
WPR271,Web programming,Business-focused incremental hardware
